correct,incorrect,type
I den gruppen har 17 procent symptom som tyder på påtagliga psykiska besvär.,den gruppen har 17 procent symptom som tyder på påtagliga psykiska besvär.,delete
Som sådana åtnjuter de enligt borgerlig och kyrklig lag bestämda rättigheter och är underkastade bestämda skyldigheter.,Som sådana åtnjuter de enligt borgerlig och kyrklig lag bestämda rättigheter är underkastade bestämda skyldigheter.,delete
Polyandri - som finns bara i undantagsfall - har troligen att göra med svåra försörjningsvillkor - de nyfödda flickebarnen sätts i stor utsträckning ut i ' vildmarken ' och det uppstår därför kvinnobrist.,- som finns bara i undantagsfall - har troligen att göra med svåra försörjningsvillkor - de nyfödda flickebarnen sätts i stor utsträckning ut i ' vildmarken ' och det uppstår därför kvinnobrist.,delete
Har du tänkt på att utbildning kan ge dig ett bättre och tryggare arbete?,Har du tänkt att på utbildning kan ge dig ett bättre och tryggare arbete?,flip_neighbours
Familjen kunde inte längre ensam klara de otrygghetsproblem som uppstod.,Familjen kunde inte längre ensam klara de otrygghetsproblem som.,delete
De närmaste dagarna efter experimentet uppgav huvudparten av gruppens deltagare att deras sexuella aktivitet stigit avsevärt.,De närmaste dagarna efter experimentet uppgav huvudparten gruppens deltagare att deras sexuella aktivitet stigit avsevärt.,delete
"Avsaltat havsvatten ställer sig ännu för dyrt för att användas inom jordbruket, men projekt har framlagts att använda atomenergi för detta ändamål.","Avsaltat havsvatten ställer sig ännu för dyrt för att användas inom jordbruket, men projekt har framlagts att använda atomenergi detta för ändamål.",flip_neighbours
Rimliga hyreskostnader för en sådan standardlägenhet skulle få motsvara högst 20 % av en industriarbetares inkomst.,Rimliga hyreskostnader en sådan standardlägenhet skulle få motsvara högst 20 % av en industriarbetares inkomst.,delete
Om olja hittas och fynden är så stora att de kan kommersiellt utnyttjas får markägaren en sjuttiofemtedel av värdet.,Om olja hittas och fynden är så stora att de kan kommersiellt utnyttjas får markägaren en sjuttiofemtedel värdet.,delete
"Valsedlarna bör ha * namn på en eller flera kandidater * valkretsbeteckning * uppgift om till vilket val de gäller (riksdag, landsting eller kommunfullmäktige)","Valsedlarna ha bör * namn på en eller flera kandidater * valkretsbeteckning * uppgift om till vilket val de gäller (riksdag, landsting eller kommunfullmäktige)",flip_neighbours
"Du ska ha 3 valsedlar - en gul (riksdagsval), en blå (landstingsval) och en vit (kommunfullmäktigeval).","Du ska 3 valsedlar - en gul (riksdagsval), en blå (landstingsval) och en vit (kommunfullmäktigeval).",delete
Hur pass ont har han i huvudet?,Hur pass ont har i han huvudet?,flip_neighbours
Men ingen får ha mer än 30 andelar.,Men ingen ha får mer än 30 andelar.,flip_neighbours
Det är ur flera synpunkter inte särskilt väl anpassat till vår kultursituation.,Det är ur flera synpunkter särskilt väl anpassat till vår kultursituation.,delete
Instrumenten för detta är de stads- och byggnadsplaner kommunerna upprättar.,Instrumenten för detta är de stads- byggnadsplaner och kommunerna upprättar.,flip_neighbours
Det har inte gjorts någon undersökning av hur ofta cirkapriserna underskrids eller överskrids.,Har det inte gjorts någon undersökning av hur ofta cirkapriserna underskrids eller överskrids.,flip_neighbours
Medan jag bäddade sängarna försökte jag komma ihåg i vilken tidning det var.,Medan jag bäddade sängarna försökte jag komma ihåg i vilken tidning var det.,flip_neighbours
Liksom tidigare kan man stryka namn på valsedel.,Liksom tidigare kan stryka man namn på valsedel.,flip_neighbours
Rörelselek är all motorisk övning från spädbarnets gripande efter sin skallra till de större barnens sportutövande.,Rörelselek är all motorisk övning från spädbarnets gripande efter sin skallra de till större barnens sportutövande.,flip_neighbours
"Och 35000 valboxar, tre stycken i varje vallokal och postanstalt.","35000 valboxar, tre stycken i varje vallokal och postanstalt.",delete
Du har kanske läst platsannonser och försökt räkna ut om det blir lätt eller svårt att få jobb.,Har du kanske läst platsannonser och försökt räkna ut om det blir lätt eller svårt att få jobb.,flip_neighbours
"De två hålen till höger markerar valkrets, de två vänstra parti respektive partifraktion.","Två de hålen till höger markerar valkrets, de två vänstra parti respektive partifraktion.",flip_neighbours
Men den kvinnliga rösträtten tillkom - kanske som en av de viktigare förutsättningarna - praktiskt taget samtidigt med att rösträtten blev allmän även för männen.,Men den kvinnliga rösträtten tillkom - kanske som en de viktigare förutsättningarna - praktiskt taget samtidigt med att rösträtten blev allmän även för männen.,delete
"Kåren av barnvårdarinnor, som kan ta hand om sjuka barn i hemmet och som eventuellt kan vara barnvakt på kvällarna och enstaka nätter, måste utökas.","Kåren av barnvårdarinnor, som kan ta hand om sjuka barn i hemmet och som eventuellt kan vara barnvakt på och enstaka nätter, måste utökas.",delete
"Dessa inkomster är * inkomst av tjänst - lön, pension, livränta, undantagsförmåner och övrig tjänsteinkomst. (Undantag: periodiskt understöd eller därmed jämförlig periodisk inkomst.) * inkomst av jordbruksfastighet - om den skattskyldige arbetat i jordbruket i ej blott ringa omfattning. * inkomst av rörelse - om den skattskyldige arbetat i rörelsen i ej blott ringa omfattning.","Dessa inkomster är * inkomst av tjänst - lön, pension, livränta, undantagsförmåner och övrig tjänsteinkomst. (Undantag: periodiskt understöd eller därmed jämförlig periodisk inkomst.) * inkomst av jordbruksfastighet - om den arbetat skattskyldige i jordbruket i ej blott ringa omfattning. * inkomst av rörelse - om den skattskyldige arbetat i rörelsen i ej blott ringa omfattning.",flip_neighbours
"Där kan hyrorna i stort sett inte ändras såvida inte kostnaderna ökar för fastighetsförvaltning, genom ombyggnad eller förbättring.","Där kan hyrorna i stort sett inte ändras såvida inte kostnaderna ökar fastighetsförvaltning för, genom ombyggnad eller förbättring.",flip_neighbours
Efter sju år kom de med båt till samma ställe.,Efter sju år kom de med båt till samma.,delete
"Om det finns olja i Skåne eller i den ' svenska ' delen av Östersjön så är det Jerome Bayless från Tulsa, Oklahoma, som skall borra fram den.","Om det finns olja i Skåne eller i den ' svenska ' av Östersjön så är det Jerome Bayless från Tulsa, Oklahoma, som skall borra fram den.",delete
En skrift som manade till eftertanke och direkta åtgärder.,En skrift som manade till och direkta åtgärder.,delete
Av vilka orsaker har man inom sjöfarten nästan helt övergått till oljedrift?,Av vilka orsaker har man inom nästan sjöfarten helt övergått till oljedrift?,flip_neighbours
I den första och tredje undersökningen deltog också psykolog Per-Erik Almgren.,I den första tredje undersökningen deltog också psykolog Per-Erik Almgren.,delete
"Medan man väntar på turen och barnen växer hankar man sej fram med de olika nödlösningarna: flickorna en flyktig och växlande skara av unga och instabila personer som hamnat i jobbet utan speciella kvalifikationer, dagmammorna, en ännu mera obekant faktor i barnens liv, det knepiga trebarnssystemet där tre grannfamiljer slår sej ihop om en utbildad sköterska - men där barnen lika lite kommer ut ur den trånga miljön med en isolerad kvinnsperson - aldrig en karl för den ensamma mammans barn.","Medan man väntar på turen och barnen växer hankar man sej fram med de olika nödlösningarna: flickorna en flyktig växlande skara av unga och instabila personer som hamnat i jobbet utan speciella kvalifikationer, dagmammorna, en ännu mera obekant faktor i barnens liv, det knepiga trebarnssystemet där tre grannfamiljer slår sej ihop om en utbildad sköterska - men där barnen lika lite kommer ut ur den trånga miljön med en isolerad kvinnsperson - aldrig en karl för den ensamma mammans barn.",delete
Det är svårt att hitta gemensamma kännetecken för den stora gruppen som är utan inkomster över huvud taget - det ligger många orsaker bakom.,Det är svårt att hitta gemensamma kännetecken för den stora gruppen som är inkomster över huvud taget - det ligger många orsaker bakom.,delete
"Det har mindre och mindre blivit offentliga angelägenheter - där staten, samhället, samhällsklass eller storfamiljen är intressenter.","Det har mindre och mindre blivit offentliga angelägenheter - där, samhället, samhällsklass eller storfamiljen är intressenter.",delete
"Men för de flesta är det knappast de ekonomiska hänsynen som är de viktigaste utan de psykologiska, bundenheten vid en traditionell rollfördelning som hämmar männens engagemang i barnavården och kvinnornas i yrkeslivet.","För men de flesta är det knappast de ekonomiska hänsynen som är de viktigaste utan de psykologiska, bundenheten vid en traditionell rollfördelning som hämmar männens engagemang i barnavården och kvinnornas i yrkeslivet.",flip_neighbours
Under gynnsamma betingelser har avkastningen varit mycket tillfredsställande.,Under gynnsamma betingelser har varit avkastningen mycket tillfredsställande.,flip_neighbours
"Han försökte med teckenspråk, försökte rita, men han hade C i teckning i skolan.","Han försökte med teckenspråk, försökte rita, men han hade C teckning i i skolan.",flip_neighbours
Brist på yrkesutbildning är ett hinder för många när det gäller att få nytt arbete.,Brist på yrkesutbildning är ett för hinder många när det gäller att få nytt arbete.,flip_neighbours
"År 1920, och först då, fick den gifta kvinnan fullständig myndighet.","1920 år, och först då, fick den gifta kvinnan fullständig myndighet.",flip_neighbours
Jag tror barn som växer upp i kollektiv miljö måste vara bättre anpassade att leva tillsammans än vad vi var.,Jag tror barn som växer upp i kollektiv miljö måste vara bättre anpassade att tillsammans än vad vi var.,delete
"Den medicinska behandlingen, som givetvis är nödvändig om dessa personer skall kunna räddas till liv och hälsa, måste därför i första hand ta sikte på att förbättra allmäntillståndet genom närings- och vitamintillförsel.","Den medicinska behandlingen, som givetvis är nödvändig om dessa skall personer kunna räddas till liv och hälsa, måste därför i första hand ta sikte på att förbättra allmäntillståndet genom närings- och vitamintillförsel.",flip_neighbours
Inte förrän 1850 noterades den första miljarden.,Förrän inte 1850 noterades den första miljarden.,flip_neighbours
Försök redan från första dagen att acceptera kamraterna och visa hänsyn mot dem.,Försök redan från första dagen acceptera att kamraterna och visa hänsyn mot dem.,flip_neighbours
"Stora förhoppningar knyts till växtförädlingen, när det gäller att öka livsmedelsproduktionen i u-länderna.","Stora förhoppningar till växtförädlingen, när det gäller att öka livsmedelsproduktionen i u-länderna.",delete
Totala kostnaden för en kraftstation utbyggd med fyra aggregat blir således ca 2 miljarder kronor.,Totala kostnaden för en kraftstation utbyggd med fyra aggregat blir således 2 ca miljarder kronor.,flip_neighbours
Vad som måste krävas är en mer realistisk uppfattning om relationen man - kvinna för släktets bevarande.,Vad som måste krävas är mer en realistisk uppfattning om relationen man - kvinna för släktets bevarande.,flip_neighbours
Annars står vi glatt till tjänst med att ytterligare förstärka det.,Annars står vi glatt till tjänst med att ytterligare det.,delete
Ibland utses också barnavårdsman för barn i äktenskap när föräldrarna inte lever tillsammans.,Ibland utses också barnavårdsman barn för i äktenskap när föräldrarna inte lever tillsammans.,flip_neighbours
Och han tror att man framförallt inom processindustrin kan ändra på tiderna utan för stora kostnader men däremot få höga vinster.,Och han tror att man framförallt inom processindustrin kan ändra på tiderna utan för stora kostnader men däremot få höga.,delete
De tycker om granna färger.,De om granna färger.,delete
"De nordiska deltagarna fattade där ett beslut om regionalt samarbete, som så småningom resulterade i Nordiska kommitten för modernisering av matematikundervisningen med bland andra lektor Hemer som ledamot.","De nordiska deltagarna fattade där ett beslut om regionalt samarbete, som så småningom resulterade i Nordiska kommitten för modernisering av matematikundervisningen med bland andra lektor Hemer ledamot som.",flip_neighbours
Låglöneproblematiken är inte bara en fråga om att vara hänvisad till slumnivå och sociala bidrag.,Låglöneproblematiken är inte bara en fråga om att hänvisad till slumnivå och sociala bidrag.,delete
På detta sätt styrs beteendet mot konformitet i en rad olika avseenden.,På detta sätt styrs beteendet mot konformitet en rad olika avseenden.,delete
"Men människorna skall också beredas arbete i industrier, kommunikationer och annan serviceverksamhet för att därigenom få en högre levnadsstandard.","Men människorna skall också beredas arbete industrier, kommunikationer och annan serviceverksamhet för att därigenom få en högre levnadsstandard.",delete
"Tiden får inte användas till fortsatt undervisning i obligatoriska ämnen eller tillvalsämnen, utan eleverna skall välja aktiviteter efter intresse på andra områden.","Tiden får inte till fortsatt undervisning i obligatoriska ämnen eller tillvalsämnen, utan eleverna skall välja aktiviteter efter intresse på andra områden.",delete
"Det betyder att bostadstillägget minskas om inkomsterna utöver folkpensionen uppgår till mer än ett visst belopp, nämligen 2000 kr för en ensam pensionär och 3000 kr för två makar tillsammans.","Det att betyder bostadstillägget minskas om inkomsterna utöver folkpensionen uppgår till mer än ett visst belopp, nämligen 2000 kr för en ensam pensionär och 3000 kr för två makar tillsammans.",flip_neighbours
Om bara den ena maken vill ha hemskillnad måste han eller hon stämma den andra inför domstol.,Om bara den ena maken vill ha måste han eller hon stämma den andra inför domstol.,delete
Kvinnans reella likställdhet med mannen är så lite förverkligad att det som förvånar mest är det ringa uppseende och den ringa grad av indignation detta faktum framkallar.,Kvinnans reella med mannen är så lite förverkligad att det som förvånar mest är det ringa uppseende och den ringa grad av indignation detta faktum framkallar.,delete
"För den som vill veta mer om konsumentprisindex har statistiska centralbyrån givit ut en broschyr, vilken kan köpas i bokhandeln eller rekvireras från Allmänna Förlaget, Fack, 10320 Stockholm 16.","För den som vill veta mer konsumentprisindex om har statistiska centralbyrån givit ut en broschyr, vilken kan köpas i bokhandeln eller rekvireras från Allmänna Förlaget, Fack, 10320 Stockholm 16.",flip_neighbours
"Det är inte alltid lätt att få lugn omkring sig om man har flera småbarn i familjen - som kanske dessutom känner sig avundsjuka på den minste som får ha mamma alldeles för sig själv, men om matningen kan ordnas som en skön stund utan jäkt och brådska är det bäst för både mor och barn.","Det är inte alltid lätt att få lugn omkring sig om man har flera småbarn i familjen - som kanske dessutom känner sig avundsjuka på den minste som får ha mamma alldeles för sig själv, men om matningen kan ordnas som en skön stund utan jäkt och brådska är det bäst för både och barn.",delete
Måste vi inte på allt sätt arbeta på att förändra detta manssamhälles attityder mot det kvinnliga?,Måste vi inte på allt arbeta på att förändra detta manssamhälles attityder mot det kvinnliga?,delete
Sov en stund eller rör på dig i friska luften.,Sov en stund eller rör dig på i friska luften.,flip_neighbours
"Argumentet är detta: ett äktenskap, där makarna inte har någon glädje av varandra utan tvärtom kränker varandra, kan inte kallas ett äktenskap.","Argumentet är detta: ett äktenskap, där makarna inte har någon glädje av varandra utan tvärtom kränker varandra, inte kan kallas ett äktenskap.",flip_neighbours
Hur bestämmelserna än är finns det dock vid marina-anläggningarna uppsamlingstankar och pumpstationer med anslutningar vid bryggorna för utsugning av avfallet.,Hur bestämmelserna än är finns det dock vid marina-anläggningarna uppsamlingstankar och pumpstationer anslutningar med vid bryggorna för utsugning av avfallet.,flip_neighbours
Jag sökte jobb efter jobb men inte fick jag någon plats.,Jag sökte jobb efter jobb men inte fick jag plats någon.,flip_neighbours
Det beror på att undervisningssystemen övertagits från den forna kolonialmakten och ofta har värderingar från 1800-talet.,beror på att undervisningssystemen övertagits från den forna kolonialmakten och ofta har värderingar från 1800-talet.,delete
Då är färgerna irrelevanta i sammanhanget.,Då är färgerna irrelevanta sammanhanget i.,flip_neighbours
"Säger bibeln uttryckligen något om, varför eller rättare: vartill en man och en kvinna skall förenas i äktenskapet?","bibeln uttryckligen något om, varför eller rättare: vartill en man och en kvinna skall förenas i äktenskapet?",delete
"Vi gillar inte samhällstillvända samhällsbrickor, vi vill ha utvecklade människor.","Gillar vi inte samhällstillvända samhällsbrickor, vi vill ha utvecklade människor.",flip_neighbours
Exemplet från Utah ger också anledning att ställa en annan fråga.,Från exemplet Utah ger också anledning att ställa en annan fråga.,flip_neighbours
Nybörjarkurser ger yrkesutbildning åt arbetslös ungdom som tidigare inte fått sådan utbildning.,Nybörjarkurser ger yrkesutbildning åt arbetslös ungdom som tidigare inte fått utbildning sådan.,flip_neighbours
Sparpremien räknas på ett belopp på högst 3000 kronor.,räknas på ett belopp på högst 3000 kronor.,delete
För det skulle han antingen behöva studera samma barn under en följd av år eller olika barn på varje åldersnivå mellan 1 och 10 år.,För det skulle han antingen behöva studera samma barn under en följd av eller olika barn på varje åldersnivå mellan 1 och 10 år.,delete
"År 1975, då de två första aggregaten är under byggnad, bedöms personalen uppgå till maximalt ca 1100 man.","År 1975, då de två aggregaten första är under byggnad, bedöms personalen uppgå till maximalt ca 1100 man.",flip_neighbours
Följden har blivit att en stor del av befolkningen i dessa områden svälter.,Följden blivit att en stor del av befolkningen i dessa områden svälter.,delete
Data finns från en undersökning utförd år 1957 av professor Carin Boalt.,Data finns från en undersökning utförd år 1957 professor Carin Boalt.,delete
I svenska utökas undervisningen i dramatisk framställning och i film- och TV-kunskap.,I svenska utökas undervisningen i dramatisk framställning och i film- och.,delete
Grundbeloppet är 60 kr i månaden när det finns ett barn.,Grundbeloppet är 60 kr i månaden när det ett finns barn.,flip_neighbours
"I Svenska Dagbladets debatt använde man den falska motsättningen rent politiskt, för att genom en konstruerad lojalitet ' hemmafruar emellan ' driva fram en konservativ opinion mot Strängs skatteförslag.","I Svenska Dagbladets debatt använde man den falska motsättningen rent politiskt, för att genom en konstruerad lojalitet ' emellan ' driva fram en konservativ opinion mot Strängs skatteförslag.",delete
"Det skall sortera under socialstyrelsen, och dess arbete skall i första hand inriktas på lekmaterial men också på miljöfrågor.","Det skall sortera under socialstyrelsen, och dess skall arbete i första hand inriktas på lekmaterial men också på miljöfrågor.",flip_neighbours
I en skola för alla är det inte realistiskt att kräva samma prestationer av alla elever.,I en skola för alla är det inte realistiskt att kräva samma prestationer av elever alla.,flip_neighbours
"Det kan inte nog upprepas, att hem- och familjeliv, vården av de intimare mänskliga relationerna överhuvud, är fundamentalt mänskliga angelägenheter och inte fundamentalt kvinnliga.","Det kan inte nog upprepas, att hem- familjeliv och, vården av de intimare mänskliga relationerna överhuvud, är fundamentalt mänskliga angelägenheter och inte fundamentalt kvinnliga.",flip_neighbours
"Också där måste denna etik leda till klara sociala konsekvenser: bostäder, hjälp till mödrar, kort sagt social välfärd också för det väntade barnet.","Också där måste denna etik leda till klara sociala konsekvenser: bostäder, hjälp till, kort sagt social välfärd också för det väntade barnet.",delete
"Bör inte lusten att vårda i stället ses som en ytterligt värdefull kvinnlig egenskap, som samhället bör ta vara på, när vi inom en snar framtid enligt våra framtidsforskare får datastyrda fabriker och måste sysselsätta allt fler människor inom den vårdande sektorn?","Bör inte lusten att vårda i stället ses en som ytterligt värdefull kvinnlig egenskap, som samhället bör ta vara på, när vi inom en snar framtid enligt våra framtidsforskare får datastyrda fabriker och måste sysselsätta allt fler människor inom den vårdande sektorn?",flip_neighbours
Patienten på bilden längst t.h. vill bli vänd och sova på rygg i stället.,Patienten på längst bilden t.h. vill bli vänd och sova på rygg i stället.,flip_neighbours
Då blir det fråga om mänskliga rättigheter (jfr s. 264).,Då blir det om mänskliga rättigheter (jfr s. 264).,delete
"Artikeln bygger främst på Unesco Courier, January 1970; Världshorisont 1, 1970; och Svenska FN-förbundets och skolöverstyrelsens studiehäfte ' Undervisning eller undergång '.","Artikeln bygger främst på Unesco Courier, January 1970; Världshorisont 1, 1970; och Svenska och skolöverstyrelsens studiehäfte ' Undervisning eller undergång '.",delete
"Då Haussmann och Napoleon III skapade det nutida Paris centrum strävade de att skapa intryck av monumentalitet, genom breda gator, stora torg, statyer, kolonner, palats och offentliga byggnader i gatuperspektivens fond.","Då Haussmann och III Napoleon skapade det nutida Paris centrum strävade de att skapa intryck av monumentalitet, genom breda gator, stora torg, statyer, kolonner, palats och offentliga byggnader i gatuperspektivens fond.",flip_neighbours
Dessutom reduceras bankräntan efter de bestämmelser som gäller för bankkonto med 12 månaders uppsägning (medlen behandlas vid uttag som om de vore uppsagda till återbetalning per 1.1.1972).,Dessutom reduceras bankräntan efter de bestämmelser som gäller för bankkonto 12 månaders uppsägning (medlen behandlas vid uttag som om de vore uppsagda till återbetalning per 1.1.1972).,delete
"I äldre litteratur möter man ofta ett påstående, att alla våra energikällor på ett eller annat sätt härrör från solenergin.","I äldre litteratur möter man ett ofta påstående, att alla våra energikällor på ett eller annat sätt härrör från solenergin.",flip_neighbours
Misstroendeförklaringen innebär att det berörda statsrådet måste avgå.,Innebär misstroendeförklaringen att det berörda statsrådet måste avgå.,flip_neighbours
Också i fråga om avlagda högre akademiska examina leder männen överlägset.,Också fråga om avlagda högre akademiska examina leder männen överlägset.,delete
"Fruktsamheten, barnafödandet och barnuppfostrandet är alltså äktenskapets primära syftning.","Fruktsamheten, barnafödandet barnuppfostrandet är alltså äktenskapets primära syftning.",delete
"I dessa fall då orsaken alltså inte är den vanliga höggradig åderförkalkning, finns chansen att återföra patienten till ett normalt liv genom en operation av det slag som återges på skissen här intill","I dessa fall då orsaken alltså inte är den vanliga höggradig åderförkalkning, finns chansen att återföra patienten till ett normalt genom en operation av det slag som återges på skissen här intill",delete
Inte heller ville han att EEC skulle bli ett s k överstatligt organ genom vilket medlemsländerna helt kunde styras.,Inte heller ville han EEC skulle bli ett s k överstatligt organ genom vilket medlemsländerna helt kunde styras.,delete
Kvinnans ställning i arbetslivet är kanske på sitt sätt ännu mer nedvärderad än i det politiska livet.,Kvinnans ställning i arbetslivet är kanske på sitt ännu mer nedvärderad än i det politiska livet.,delete
Söker man däremot arbete på annan ort och kanske i ett yrke som man inte känner så väl till behövs betydligt fler upplysningar.,Söker man däremot arbete på annan ort och kanske i ett yrke som man inte känner så väl till behövs betydligt upplysningar fler.,flip_neighbours
Ställer man däremot bestämda krav på lägenheternas beskaffenhet och storlek måste man bygga mer.,Ställer man däremot bestämda på lägenheternas beskaffenhet och storlek måste man bygga mer.,delete
Hur ter sig de öppna platserna i din egen hemstad?,Hur ter sig de öppna platserna i din hemstad egen?,flip_neighbours
För att få det statliga omställningsbidraget ska man under året fylla minst 60 år.,För att få statliga det omställningsbidraget ska man under året fylla minst 60 år.,flip_neighbours
"Därvid har föreslagits följande sex aspekter på ' medmänskliga dugligheter ': hälsa, intelligens, kontakt- och inlevelseförmåga, självständighet och självkänsla, omdöme och skapande förmåga.","Därvid har föreslagits följande sex aspekter på ' medmänskliga dugligheter ': hälsa, intelligens, och kontakt- inlevelseförmåga, självständighet och självkänsla, omdöme och skapande förmåga.",flip_neighbours
I krig utförs all verksamhet i ' skarpladdad miljö '.,Krig I utförs all verksamhet i ' skarpladdad miljö '.,flip_neighbours
De flesta bilar är i dag redan från fabriken utrustade med radialdäck.,De flesta bilar är i dag redan från fabriken utrustade radialdäck med.,flip_neighbours
Men denna princip går inte alltid att tillämpa i människornas ofullkomliga värld.,Men denna princip går inte alltid att tillämpa i ofullkomliga människornas värld.,flip_neighbours
Familjen är emellertid konservativ på samma sätt som kärleken ofta är egoistisk.,Familjen är emellertid konservativ på sätt samma som kärleken ofta är egoistisk.,flip_neighbours
"Det gäller t.ex. de talrika järnvägsparker, vilka som en grön sträng kom att skilja många stationer från den närmaste bebyggelsen.","Det gäller t.ex. de talrika järnvägsparker, vilka som en grön sträng kom att skilja många från stationer den närmaste bebyggelsen.",flip_neighbours
Lite senare i livet använder man 39000 kronor för att lära den värnpliktige skjuta.,Lite senare i livet använder man 39000 kronor för att den värnpliktige skjuta.,delete
"I Indien går det nära 6000 människor på varje läkare, i Etiopien nära 100000, i Ruanda nära 150000 - i Sverige under 1000, i USA under 700.","I Indien går det nära 6000 människor på varje läkare, i Etiopien nära 100000, Ruanda nära 150000 - i Sverige under 1000, i USA under 700.",delete
Du måste både kunna handla självständigt och lyda för att bli en bra soldat.,Du måste både kunna handla självständigt och lyda för att bli en bra.,delete
"Kibbutzbarnen tycktes vara mer ointresserade och likgiltiga än moshavbarnen, möjligen på grund av att de blev mycket frusterade av att sköterskans uppmärksamhet måste fördelas jämnt mellan flera andra små rumskamrater. ' 8","Kibbutzbarnen tycktes vara mer ointresserade och likgiltiga än moshavbarnen, möjligen på grund av de att blev mycket frusterade av att sköterskans uppmärksamhet måste fördelas jämnt mellan flera andra små rumskamrater. ' 8",flip_neighbours
Dessutom slits dessa långa dubbar snabbt genom att de viker sig.,Dessutom slits dessa långa dubbar snabbt genom att viker sig.,delete
I positiv riktning för kvinnornas yrkesverksamhet verkar den jämställdhet mellan flickor och pojkar som råder inom skolan.,I positiv riktning för kvinnornas yrkesverksamhet verkar den jämställdhet mellan flickor och pojkar som råder skolan inom.,flip_neighbours
Uppräkningen nyss av typiska ' u-landsegenskaper ' bidrar till ett sådant intryck.,Uppräkningen nyss av typiska ' u-landsegenskaper ' bidrar till ett intryck sådant.,flip_neighbours
Ungefär 40 procent av anslaget går till FN och dess fackorgan för vidare utdelning.,Ungefär 40 procent anslaget av går till FN och dess fackorgan för vidare utdelning.,flip_neighbours
"När ackorden sätts, sätts dom så att man inte kan höja lönen ett dugg, fast enligt lagen ska det finnas en tioprocentig möjlighet att höja ackordet.","När ackorden sätts, sätts dom så att man inte kan höja ett dugg, fast enligt lagen ska det finnas en tioprocentig möjlighet att höja ackordet.",delete
"Äktenskapet är ett avtal, och ett bindande avtal.","Äktenskapet är avtal ett, och ett bindande avtal.",flip_neighbours
"Vi skulle klara oss alldeles utmärkt utan självhushållets hela prylarsenal, vi skulle kanske rentav trivas bättre med ett mera lättmanövrerat liv, i turistklass.","Vi skulle klara oss alldeles utmärkt utan självhushållets hela prylarsenal, vi skulle kanske rentav bättre med ett mera lättmanövrerat liv, i turistklass.",delete
Utbildningen av olika sociala utlösningsmekanismer är även en form av isolering och kan ha liknande betydelse för uppkomsten av nya arter.,Utbildningen av olika sociala utlösningsmekanismer är även en form av och kan ha liknande betydelse för uppkomsten av nya arter.,delete
Bidraget utgår under högst 12 månader.,Bidraget utgår under högst månader 12.,flip_neighbours
Rapporten om gifthalterna i de här fisksorterna kommer från en omfattande undersökning som gjorts av en forskargrupp på Riksmuseet.,Rapporten om i de här fisksorterna kommer från en omfattande undersökning som gjorts av en forskargrupp på Riksmuseet.,delete
Den expressiva funktionen utövas huvudsakligen av modern.,Den expressiva funktionen huvudsakligen av modern.,delete
Det andra kristna svaret använder sig av värderegeln: man ska handla så att resultatet blir det bästa för de flesta.,Det andra kristna svaret använder sig av värderegeln: man ska handla så att resultatet blir det bästa de för flesta.,flip_neighbours
"Bland de fundamentala ting som barn behöver för att utvecklas till harmoniska, självständiga människor spelar leken en stor roll.","Bland de fundamentala ting som barn behöver för att utvecklas till harmoniska, självständiga människor spelar leken en roll stor.",flip_neighbours
"Sällan har väl barn i något samhälle blivit så lite diciplinerade och auktoritetsbundna, så fria och obundna samtidigt som man lagt ned så mycket tid och möda på att ge dem en bra uppfostran.","Sällan har väl barn i något samhälle blivit så lite diciplinerade och auktoritetsbundna, så fria och obundna samtidigt som man lagt ned så mycket tid och möda på att ge en bra uppfostran.",delete
Ett intensivt arbete pågår för att klarlägga denna sjukdom.,Ett intensivt pågår för att klarlägga denna sjukdom.,delete
Vid avfart - ge tecken i god tid och håll väl ut till höger.,Vid avfart - ge tecken i god tid och håll väl till ut höger.,flip_neighbours
År 1969 trädde en ny hyreslag i kraft.,År 1969 trädde en hyreslag ny i kraft.,flip_neighbours
"När Bowlby skriver ' mamma ', så menar han med detta inte bara den som sköter om barnets rent fysiska behov utan också den som tillfredsställer barnets behov av värme och psykisk stimulans - funktioner som vi slentrianmässigt kommit att tillföra kvinnan i hennes roll som mor.","När Bowlby skriver ' mamma ', så menar han med detta inte bara den som sköter om barnets rent fysiska behov utan också den som tillfredsställer barnets behov värme och psykisk stimulans - funktioner som vi slentrianmässigt kommit att tillföra kvinnan i hennes roll som mor.",delete
"Fastän äktenskap av samhället bekräftas först med vigseln, räknar svensk lag alltjämt trolovningsbarn som rätta arvingar.","Fastän äktenskap av samhället först bekräftas med vigseln, räknar svensk lag alltjämt trolovningsbarn som rätta arvingar.",flip_neighbours
Mätningar med oscilloskop har gett värden på 170 decibel (!).,Mätningar med oscilloskop gett värden på 170 decibel (!).,delete
Det ökar med 20 kr i månaden för varje barn utöver ett.,Det ökar med 20 kr i månaden för varje utöver ett.,delete
"Men nu kan vi också tillgodogöra oss den kraftutveckling, som sker vid kärnreaktioner.","Men nu kan vi också tillgodogöra oss den kraftutveckling, som sker kärnreaktioner.",delete
Nationalinkomsten kommer inte att stiga lika kraftigt som under 60-talet.,Nationalinkomsten kommer inte att stiga lika kraftigt som 60-talet under.,flip_neighbours
Dessutom finns det valsedelsblanketter utan partibeteckning och namn på alla ställen där man kan rösta.,Dessutom finns det valsedelsblanketter utan partibeteckning och på alla ställen där man kan rösta.,delete
