Question (Generative Setup),Answer (Generative Setup),Positive (Minimal Pairs Setup),Negative (Minimal Pairs Setup),Challenge Set
När man tar emot någon hjärtligt och välkomnande då tar man emot hen med varm ,Hand,När man tar emot någon hjärtligt och välkomnande då tar man emot hen med varm hand.,När man tar emot någon hjärtligt och välkomnande då tar man emot hen med varm hej.,
När man är nervös och inte kan sitta still har man myror i ,Byxorna,När man är nervös och inte kan sitta still har man myror i byxorna.,När man är nervös och inte kan sitta still har man myror i skorna.,
När man blir ertappad i en självförvållad situation som man får skämmas för inför andra då står man med vad nere? ,"Byxorna, Huvudet, hakan ",När man blir ertappad i en självförvållad situation som man får skämmas för inför andra då står man med byxorna nere.,När man blir ertappad i en självförvållad situation som man får skämmas för inför andra då står man med trosorna nere.,
Negativa konsekvenser som inte syns vid en första anblick är baksidan av vad? ,"Medaljen, Myntet ",Negativa konsekvenser som inte syns vid en första anblick är baksidan av medaljen.,Negativa konsekvenser som inte syns vid en första anblick är baksidan av månen.,
När någon har gjort något som hen borde skämmas för då går skam för torra ,Land,När någon har gjort något som hen borde skämmas för då går skam för torra land.,När någon har gjort något som hen borde skämmas för då går skam för torra händer.,
När man festar mycket då lever man ett liv i sus och ,Dus,När man festar mycket då lever man ett liv i sus och dus.,När man festar mycket då lever man ett liv i sus och brus.,
"Någon som ständigt tar sig för nya aktiviteter på ett nervöst sätt, till synes utan något egentligt slutligt mål, är som ett skållat",Troll,"Någon som ständigt tar sig för nya aktiviteter på ett nervöst sätt, till synes utan något egentligt slutligt mål, är som ett skållat troll.","Någon som ständigt tar sig för nya aktiviteter på ett nervöst sätt, till synes utan något egentligt slutligt mål, är som ett skållat spöke.",x
"Ett kaotiskt, stormigt och resultatlöst sammanträde kallas också för polsk",Riksdag,"Ett kaotiskt, stormigt och resultatlöst sammanträde kallas också för polsk riksdag.","Ett kaotiskt, stormigt och resultatlöst sammanträde kallas också för polsk gryta.",
När någon avlider kan man också säga att hen gör vad med en påve? ,Sminka,När någon avlider kan man också säga att hen sminkar en påve.,När någon avlider kan man också säga att hen äter en påve.,
När man försöker påtvinga någon annan ens egna tankar och åsikter då skriver man hen på ,Näsan,När man försöker påtvinga någon annan ens egna tankar och åsikter då skriver man hen på näsan.,När man försöker påtvinga någon annan ens egna tankar och åsikter då skriver man hen på pannan.,
När man använder en onödigt komplicerad eller otymplig metod för att lösa ett problem som kan lösas på ett mycket enklare sätt då skjuter man vad med kanoner? ,Mygg,När man använder en onödigt komplicerad eller otymplig metod för att lösa ett problem som kan lösas på ett mycket enklare sätt då skjuter man mygg med kanoner.,När man använder en onödigt komplicerad eller otymplig metod för att lösa ett problem som kan lösas på ett mycket enklare sätt då skjuter man sparvar med kanoner.,
Någon som gör bort sig skiter i det blå ,Skapet,Någon som gör bort sig skiter i det blå skapet.,Någon som gör bort sig skiter i det blå tornet.,
När man tar det lugnt även om man hamnar i svårigheter då sitter man still i ,Båten,När man tar det lugnt även om man hamnar i svårigheter då sitter man still i båten.,När man tar det lugnt även om man hamnar i svårigheter då sitter man still i skeppet.,
När man har otur och inte har något val då sitter man på,Pottkanten,När man har otur och inte har något val då sitter man på pottkanten.,När man har otur och inte har något val då sitter man på grinden.,
När man har många problem då har man sju sorger och åtta,Bedrövelser,När man har många problem då har man sju sorger och åtta bedrövelser.,När man har många problem då har man sju sorger och åtta fällor.,
När man väljer endast det som är utav värde då skiljer man vad från vetet? ,Agnarna,När man väljer endast det som är utav värde då skiljer man agnarna från vetet.,När man väljer endast det som är utav värde då skiljer man ogräset från vetet.,
När man får lida för de negativa konsekvenserna av sitt eget handlande då skördar man sina ,Frukter,När man får lida för de negativa konsekvenserna av sitt eget handlande då skördar man sina frukter.,När man får lida för de negativa konsekvenserna av sitt eget handlande då skördar man sina potatis.,
När man gör det till synes omöjliga då slår man vad på sig själv? ,Knut,När man gör det till synes omöjliga då slår man knut på sig själv.,När man gör det till synes omöjliga då slår man slingan på sig själv.,
När man är stolt över sig själv och gillar att prata om hur bra man är då slår man sig på ,Bröstet,När man är stolt över sig själv och gillar att prata om hur bra man är då slår man sig på bröstet.,När man är stolt över sig själv och gillar att prata om hur bra man är då slår man sig på kinden.,
Ett förslag som mottas positivt faller i god...,Jord,Ett förslag som mottas positivt faller i god jord.,Ett förslag som mottas positivt faller i god humör.,
Ett ärende som hamnar mellan olika ansvarsområden och som därför ingen tar tag i faller mellan två...,Stolar,Ett ärende som hamnar mellan olika ansvarsområden och som därför ingen tar tag i faller mellan två stolar.,Ett ärende som hamnar mellan olika ansvarsområden och som därför ingen tar tag i faller mellan två bord.,
När man blir full av entusiasm för något då fattar man...  ,Eld,När man blir full av entusiasm för något då fattar man eld.,När man blir full av entusiasm för något då fattar man galoppen.,
När man förstår vad något handlar om då fattar man... ,Galoppen,När man förstår vad något handlar om då fattar man galoppen.,När man förstår vad något handlar om då fattar man eld.,
När något är överflödigt blir det som det femte hjulet under...,Vagnen,När något är överflödigt blir det som det femte hjulet under vagnen.,När något är överflödigt blir det som det femte hjulet under bilen.,
En person som högmodigt och föraktfullt markerar sitt avstånd från andra är fin i...,Kanten ,En person som högmodigt och föraktfullt markerar sitt avstånd från andra är fin i kanten.,En person som högmodigt och föraktfullt markerar sitt avstånd från andra är fin i baken.,x
När man känner sig nervös inför något nära förestående har man vad i magen? ,Fjärilar,När man känner sig nervös inför något nära förestående har man fjärilar i magen.,När man känner sig nervös inför något nära förestående har man myror i magen.,
När man får ett raseriutbrott flyger man i...,Luften,När man får ett raseriutbrott flyger man i luften,När man får ett raseriutbrott flyger man i palmen,
När man jagar och eller stressar någon då flåsar man denne i...,Nacken,När man jagar och eller stressar någon då flåsar man denne i nacken.,När man jagar och eller stressar någon då flåsar man denne i håret.,
När man får problem och hamnar i ett svårt och utsatt läge får man det hett om... ,Öronen,När man får problem och hamnar i ett svårt och utsatt läge får man det hett om öronen.,När man får problem och hamnar i ett svårt och utsatt läge får man det hett om huvudet.,
Ett föremål som försvunnit eller blivit stulet har fått...,Fötter,Ett föremål som försvunnit eller blivit stulet har fått fötter.,Ett föremål som försvunnit eller blivit stulet har fått ben.,
När man blir avvisad av någon så får man kalla...,Handen,När man blir avvisad av någon så får man kalla handen.,När man blir avvisad av någon så får man kalla korgen,
När man får avslag på sitt frieri så får man... ,Korgen,När man får avslag på sitt frieri så får man korgen.,När man får avslag på sitt frieri så får man foten.,
När man totalt har missuppfattat något så har man fått det om...,Bakfoten ,När man totalt har missuppfattat något så har man fått det om bakfoten.,När man totalt har missuppfattat något så har man fått det om rumpan.,
När man tvingas ta hand om något och ägna sig åt det så får man det på...,Halsen ,När man tvingas ta hand om något och ägna sig åt det så får man det på halsen.,När man tvingas ta hand om något och ägna sig åt det så får man det på axeln.,
När man får stryk så får man på...,Pälsen,När man får stryk så får man på pälsen.,När man får stryk så får man på huden.,
När man blir mycket exalterad över något enastående bra då får man...,"Ståpäls, Gåshud",När man blir mycket exalterad över något enastående bra då får man ståpäls.,När man blir mycket exalterad över något enastående bra då får man skratt.,
Att få ytterligare argument som stöd för sin sak är att få vatten på sin...,Kvarn,Att få ytterligare argument som stöd för sin sak är att få vatten på sin kvarn.,Att få ytterligare argument som stöd för sin sak är att få vatten på sin hink.,
När man får en utskällning får man veta att man... ,Lever,När man får en utskällning får man veta att man lever.,När man får en utskällning får man veta att man dör.,
När man efter mycket tvekan eller tidsspillan till slut påbörjar något får man ändan ur...,Vagnen,När man efter mycket tvekan eller tidsspillan till slut påbörjar något får man ändan ur vagnen.,När man efter mycket tvekan eller tidsspillan till slut påbörjar något får man ändan ur cykeln.,
När man kör med full fart och med all kraft man har så kör man för allt vadå för något håller?,"Tygen, Tygeln, Tyglarna",När man kör med full fart och med all kraft man har så kör man för allt vad tyglarna håller.,När man kör med full fart och med all kraft man har så kör man för allt vad vagnen håller.,
När man gör något utan någon annans hjälp då gör man det för egen...,Maskin,När man gör något utan någon annans hjälp då gör man det för egen maskin.,När man gör något utan någon annans hjälp då gör man det för egen vagn.,
När man gör något med väldig fart så gör man det för fulla...,Muggar,När man gör något med väldig fart så gör man det för fulla muggar.,När man gör något med väldig fart så gör man det för fulla glas.,x
När man blivit lurad eller undanhållen viktig information har man blivit förd bakom...,Ljuset,När man blivit lurad eller undanhållen viktig information har man blivit förd bakom ljuset.,När man blivit lurad eller undanhållen viktig information har man blivit förd bakom trädet.,
När man försöker utföra det omöjliga då försöker man ta ner...,Månen,När man försöker utföra det omöjliga då försöker man ta ner månen.,När man försöker utföra det omöjliga då försöker man ta ner solen.,
När man gör någon tokig och galen av förälskelse så förvrider man vad på denne? ,Huvudet,När man gör någon tokig och galen av förälskelse så förvrider man huvudet på denne.,När man gör någon tokig och galen av förälskelse så förvrider man ögonen på denne.,
När man säger något med reservation för att det kan bli ett annat resultat garderar man med...,Kryss,När man säger något med reservation för att det kan bli ett annat resultat garderar man med kryss.,När man säger något med reservation för att det kan bli ett annat resultat garderar man med streck.,
När man får tillstånd eller klarsignal för att göra något så får man grönt...,Ljus,När man får tillstånd eller klarsignal för att göra något så får man grönt ljus.,När man får tillstånd eller klarsignal för att göra något så får man grönt gräs.,
När man anstränger sig till det yttersta med full kapacitet så ger man...,Järnet,När man anstränger sig till det yttersta med full kapacitet så ger man järnet.,När man anstränger sig till det yttersta med full kapacitet så ger man smöret.,
När man bestraffar någon mer hårdhänt än det är nödvändigt så ger man en...,Känga,När man bestraffar någon mer hårdhänt än det är nödvändigt så ger man en känga.,När man bestraffar någon mer hårdhänt än det är nödvändigt så ger man en sko.,
När man ger någon stor frihet att agera utan begränsningar då ger man någon fria...,"Tyglar, Händer",När man ger någon stor frihet att agera utan begränsningar då ger man någon fria tyglar.,När man ger någon stor frihet att agera utan begränsningar då ger man någon fria ben.,
Någon som är berusad är glad i...,Hatten,Någon som är berusad är glad i hatten.,Någon som är berusad är glad i huvudet.,x
När man uppmuntrar någon att inte beklaga sig över en olycka som redan inträffat och som inte går att göra något åt säger man att hen inte ska gråta över spilld...,Mjölk,När man uppmuntrar någon att inte beklaga sig över en olycka som redan inträffat och som inte går att göra något åt säger man att hen inte ska gråta över spilld mjölk.,När man uppmuntrar någon att inte beklaga sig över en olycka som redan inträffat och som inte går att göra något åt säger man att hen inte ska gråta över spilld vatten.,
När man börjar en förändring i sin närhet eller inom ramen för sitt eget verksamhetsområde då gör man vad där man står? ,"Gräva, Gräver",När man börjar en förändring i sin närhet eller inom ramen för sitt eget verksamhetsområde då gräver man där man står.,När man börjar en förändring i sin närhet eller inom ramen för sitt eget verksamhetsområde då jobbar man där man står.,
När man sluter fred då gräver man ner...,Stridsyxorna,När man sluter fred då gräver man ner stridsyxorna.,När man sluter fred då gräver man ner vapen.,
En åtgärd som på sikt kan leda till allvarliga konsekvenser för den som utför handlingen är att göra vad med sin egen grav? ,Gräva,En åtgärd som på sikt kan leda till allvarliga konsekvenser för den som utför handlingen är att gräva sin egen grav.,En åtgärd som på sikt kan leda till allvarliga konsekvenser för den som utför handlingen är att köpa sin egen grav.,
När något drar igång så går det av...,Stapeln,När något drar igång så går det av stapeln.,När något drar igång så går det av banken.,x
När man med besinningslöshet raserar och skadar allt som kommer i ens väg då går man...,Bärsärkagång,När man med besinningslöshet raserar och skadar allt som kommer i ens väg då går man bärsärkagång.,När man med besinningslöshet raserar och skadar allt som kommer i ens väg då går man framåt.,
När man gör något på samma sätt som man alltid har gjort det så går man i gamla...,Hjulspår,När man gör något på samma sätt som man alltid har gjort det så går man i gamla hjulspår.,När man gör något på samma sätt som man alltid har gjort det så går man i gamla väg.,
När man blir mycket arg och tappar självbehärskningen av vrede går man i...,Taket,När man blir mycket arg och tappar självbehärskningen av vrede går man i taket.,När man blir mycket arg och tappar självbehärskningen av vrede går man i palmen.,
När man anstränger sig så hårt psykiskt att man kraschar så går man in i... ,Väggen,När man anstränger sig så hårt psykiskt att man kraschar så går man in i väggen.,När man anstränger sig så hårt psykiskt att man kraschar så går man in i taket.,
Att stöta på ett oövervinnligt motstånd är att ge sig på...,Pumpen,Att stöta på ett oövervinnligt motstånd är att ge sig på pumpen.,Att stöta på ett oövervinnligt motstånd är att ge sig på kvarn.,
"När något fortskrider som vanligt, utan större förändringar, går sin gilla",Gång,"När något fortskrider som vanligt, utan större förändringar, går sin gilla gång.","När något fortskrider som vanligt, utan större förändringar, går sin gilla väg.",
När något auktioneras ut så går det under...,Klubban,När något auktioneras ut så går det under klubban.,När något auktioneras ut så går det under spiken.,
När man gör någonting på ett krångligare sätt än det behöver vara går man över den här efter vatten.,Ån,När man gör någonting på ett krångligare sätt än det behöver vara går man över ån efter vatten.,När man gör någonting på ett krångligare sätt än det behöver vara går man över älven efter vatten.,
När man försöker få en fråga eller problemställning att verka viktigare eller mer komplicerad än vad den är gör man en höna av en...,Fjäder,När man försöker få en fråga eller problemställning att verka viktigare eller mer komplicerad än vad den är gör man en höna av en fjäder.,När man försöker få en fråga eller problemställning att verka viktigare eller mer komplicerad än vad den är gör man en höna av en mus.,
När man plötsligt byter ståndpunkt gör man en...,Kovändning,När man plötsligt byter ståndpunkt gör man en kovändning.,När man plötsligt byter ståndpunkt gör man en omvändning.,
När man gör en snabb affär med god vinst gör man ett...,"Klipp, Kap",När man gör en snabb affär med god vinst gör man ett klipp.,När man gör en snabb affär med god vinst gör man ett affär.,
Någon som inte är vid sina sinnens fulla bruk har inte alla skruvar i...,Behåll,Någon som inte är vid sina sinnens fulla bruk har inte alla skruvar i behåll.,Någon som inte är vid sina sinnens fulla bruk har inte alla skruvar i skapet.,
Någon som har väldigt bråttom får eld i...,Baken,Någon som har väldigt bråttom får eld i baken.,Någon som har väldigt bråttom får eld i ryggen.,
Någon som är lite korkad och vansinnig har en sådan lös.,Skruv,Någon som är lite korkad och vansinnig har en skruv lös.,Någon som är lite korkad och vansinnig har en mugg lös.,
När man har något att ta till vid behov som i en given situation garanterat kan ge ett övertag mot andra då har man ett ess i...,Rockärmen,När man har något att ta till vid behov som i en given situation garanterat kan ge ett övertag mot andra då har man ett ess i rockärmen.,När man har något att ta till vid behov som i en given situation garanterat kan ge ett övertag mot andra då har man ett ess i ärmen.,
När man är fullkomligt pank har man inte ett rött...,Öre,När man är fullkomligt pank har man inte ett rött öre.,När man är fullkomligt pank har man inte ett rött peng.,
Någon som talar länge och mycket har ett välsmort...,Munläder,Någon som talar länge och mycket har ett välsmort munläder.,Någon som talar länge och mycket har ett välsmort tandkött.,
Någon som är vaken och intelligent har huvudet på...,Skaft ,Någon som är vaken och intelligent har huvudet på skaft.,Någon som är vaken och intelligent har huvudet på halsen.,
När man är överbelastad med arbete har man dessa fulla av arbetsuppgifter,Händerna,När man är överbelastad med arbete har man händerna fulla av arbetsuppgifter.,När man är överbelastad med arbete har man böckerna fulla av arbetsuppgifter.,
När man är överbelastad med arbete har man denna full av arbetsuppgifter,Häcken,När man är överbelastad med arbete har man häcken full av arbetsuppgifter.,När man är överbelastad med arbete har man boken full av arbetsuppgifter.,
När man har relativt goda kunskaper om något har man vad på det? ,Kläm,När man har relativt goda kunskaper om något har man kläm på det.,När man har relativt goda kunskaper om något har man sikte på det.,
Någon som är tjuvaktig har långa...,Fingrar,Någon som är tjuvaktig har långa fingrar.,Någon som är tjuvaktig har långa armar.,
När man vinner något med knapp marginal har man vad på sin sida? ,Millimetrarna,När man vinner något med knapp marginal har man millimetrarna på sin sida.,När man vinner något med knapp marginal har man centimetrarna på sin sida.,
Någon som anses vara relativt ointelligent har inte mycket innanför...,Pannbenet,Någon som anses vara relativt ointelligent har inte mycket innanför pannbenet.,Någon som anses vara relativt ointelligent har inte mycket innanför huvudet.,
Någon som kan lösa många uppgifter samtidigt utan att helt släppa något av pågående arbeten har många av dessa i luften.,Bollar,Någon som kan lösa många uppgifter samtidigt utan att helt släppa något av pågående arbeten har många bollar i luften.,Någon som kan lösa många uppgifter samtidigt utan att helt släppa något av pågående arbeten har många flygplan i luften.,
Någon som har osedvanlig tur och klarar sig genom många svåra olyckor i följd har det här antalet liv. ,"Nio, 9",Någon som har osedvanlig tur och klarar sig genom många svåra olyckor i följd har nio liv.,Någon som har osedvanlig tur och klarar sig genom många svåra olyckor i följd har sju liv.,
"När man har en plan eller avsikt, som inte är direkt bekant för andra då har man något i...",Kikaren,"När man har en plan eller avsikt, som inte är direkt bekant för andra då har man något i kikaren.","När man har en plan eller avsikt, som inte är direkt bekant för andra då har man något i boken.",
När man har något ytterst väl inövat eller inlärt har man det i...,Ryggmärgen,När man har något ytterst väl inövat eller inlärt har man det i ryggmärgen.,När man har något ytterst väl inövat eller inlärt har man det i blodet.,
"När något till en början är dolt, för att sedan komma fram, så har man det i...",Släptåg,"När något till en början är dolt, för att sedan komma fram, så har man det i släptåg.","När något till en början är dolt, för att sedan komma fram, så har man det i baksätet.",
"När man vill säga något, men att just för stunden inte kan komma på det rätta ordet i sammanhanget så har man det på...",Tungan,"När man vill säga något, men att just för stunden inte kan komma på det rätta ordet i sammanhanget så har man det på tungan.","När man vill säga något, men att just för stunden inte kan komma på det rätta ordet i sammanhanget så har man det på munnen.",
När man har full kontroll över något eller någon har man denne som i en liten...,Ask,När man har full kontroll över något eller någon har man denne som i en liten ask.,När man har full kontroll över något eller någon har man denne som i en liten ficka.,
När man har något som mål har man det här inställt på det.,Siktet,När man har något som mål har man siktet inställt på det.,När man har något som mål har man kikaren inställt på det.,
När man är avvikande eller tokig har man dessa på loftet. ,Tomtar,När man är avvikande eller tokig har man tomtar på loftet.,När man är avvikande eller tokig har man kål på loftet.,x
När man har fördel eller övertag har man detta på hand.,Trumf,När man har fördel eller övertag har man trumf på hand.,När man har fördel eller övertag har man mynt på hand.,
När man har ett gott förhållande till något eller någon och har dennes förtroende så har man detta med denne.,Tumme,När man har ett gott förhållande till något eller någon och har dennes förtroende så har man tumme med denne.,När man har ett gott förhållande till något eller någon och har dennes förtroende så har man axel med denne.,
När man för tillfället är i en period av framgångar har man vind i...,Seglen,När man för tillfället är i en period av framgångar har man vind i seglen.,När man för tillfället är i en period av framgångar har man vind i ryggen.,
Någon som bevakar allt som händer mycket intensivt har ögon i...,Nacken,Någon som bevakar allt som händer mycket intensivt har ögon i nacken.,Någon som bevakar allt som händer mycket intensivt har ögon i huvudet.,
När man hamnar i en utsatt situation så hamnar man i...,Blåsväder,När man hamnar i en utsatt situation så hamnar man i blåsväder.,När man hamnar i en utsatt situation så hamnar man i blixten.,
Något man gör hastigt och oplanerat gör man hals över...,Huvud,Något man gör hastigt och oplanerat gör man hals över huvud.,Något man gör hastigt och oplanerat gör man hals över fot.,
Någon som inte blir gift hamnar på överblivna...,Kartan,Någon som inte blir gift hamnar på överblivna kartan.,Någon som inte blir gift hamnar på överblivna banken.,
En mycket snäll och hänsynsfull människa skulle inte göra en sådan förnär. ,Fluga,En mycket snäll och hänsynsfull människa skulle inte göra en fluga förnär.,En mycket snäll och hänsynsfull människa skulle inte göra en råtta förnär.,
Någon som dricker mycket alkohol gör inte detta i glaset.,"Spotta, Spottar",Någon som dricker mycket alkohol spottar inte i glaset.,Någon som dricker mycket alkohol tittar inte i glaset.,
Någon som gärna skvallrar har sådana öron.,Långa,Någon som gärna skvallrar har långa öron.,Någon som gärna skvallrar har stora öron.,
Någon som lyssnar uppmärksamt gör detta med sina öron.,Spetsar,Någon som lyssnar uppmärksamt spetsar öronen.,Någon som lyssnar uppmärksamt öppnar öronen.,
När man plötsligt blir mycket rädd har man hjärtat i...,Halsgropen,När man plötsligt blir mycket rädd har man hjärtat i halsgropen.,När man plötsligt blir mycket rädd har man hjärtat i halsen.,
Någon som är god och medmänsklig har det här på rätt ställe.,Hjärtat,Någon som är god och medmänsklig har hjärtat på rätt ställe.,Någon som är god och medmänsklig har tummen på rätt ställe.,
När man gör ett val som ger oönskade konsekvenser hoppar man i galen...,Tunna,När man gör ett val som ger oönskade konsekvenser hoppar man i galen tunna.,När man gör ett val som ger oönskade konsekvenser hoppar man i galen pool.,
När man lämnar tryggheten och tar sig ur sitt begränsade sammanhang hoppar man ur...,Skålen,När man lämnar tryggheten och tar sig ur sitt begränsade sammanhang hoppar man ur skålen.,När man lämnar tryggheten och tar sig ur sitt begränsade sammanhang hoppar man ur ramen.,
När man gör något som är opassande men roligt hoppar man över...,Skaklarna,När man gör något som är opassande men roligt hoppar man över skaklarna.,När man gör något som är opassande men roligt hoppar man över elden.,
Något som är orubbligt beslutat eller fastställt är hugget i...,Sten,Något som är orubbligt beslutat eller fastställt är hugget i sten.,Något som är orubbligt beslutat eller fastställt är hugget i järn.,
Någon som har full kontroll har alla dessa i sin hand.,Trådar,Någon som har full kontroll har alla trådar i sin hand.,Någon som har full kontroll har alla styre i sin hand.,
När man håller igång en verksamhet utan risk för att intresset svalnar håller man vad kokande? ,Grytan,När man håller igång en verksamhet utan risk för att intresset svalnar håller man grytan kokande.,När man håller igång en verksamhet utan risk för att intresset svalnar håller man soppan kokande.,
När man har kontroll över något eller någon håller man det i...,Schack,När man har kontroll över något eller någon håller man det i schack.,När man har kontroll över något eller någon håller man det i grinden.,
När man försöker verka oberörd då håller man...,Masken,När man försöker verka oberörd då håller man masken.,När man försöker verka oberörd då håller man ansiktet.,
När man väntar med att säga vad någon otåligt undrar då håller man hen på...,Halster,När man väntar med att säga vad någon otåligt undrar då håller man hen på halster.,När man väntar med att säga vad någon otåligt undrar då håller man hen på tygeln.,
När man ska lugna ner sig och inte förivra sig ska man hålla sig i...,Skinnet,När man ska lugna ner sig och inte förivra sig ska man hålla sig i skinnet.,När man ska lugna ner sig och inte förivra sig ska man hålla sig i tygeln.,
När man är reserverad och avvaktande håller man sig på sin...,Kant,När man är reserverad och avvaktande håller man sig på sin kant.,När man är reserverad och avvaktande håller man sig på sin näsa.,
När man låtsas att allt är bra håller man vad uppe? ,Skenet,När man låtsas att allt är bra håller man skenet uppe.,När man låtsas att allt är bra håller man huvudet uppe.,
När man inte avslöjar en hemlighet håller man detta för tunga.,Tand,När man inte avslöjar en hemlighet håller man tand för tunga.,När man inte avslöjar en hemlighet håller man ögon för tunga.,
När man hoppas att något ska inträffa då håller man...,Tummarna,När man hoppas att något ska inträffa då håller man tummarna.,När man hoppas att något ska inträffa då håller man fingrarna.,
När man koncentrerar sig för att åstadkomma något svårt och inte blanda ihop många sakförhållanden håller man tungan rätt i...,Mun,När man koncentrerar sig för att åstadkomma något svårt och inte blanda ihop många sakförhållanden håller man tungan rätt i mun.,När man koncentrerar sig för att åstadkomma något svårt och inte blanda ihop många sakförhållanden håller man tungan rätt i hals.,
När man ger varandra väntjänster utan att det får märkas utåt håller man varandra om...,Ryggen,När man ger varandra väntjänster utan att det får märkas utåt håller man varandra om ryggen.,När man ger varandra väntjänster utan att det får märkas utåt håller man varandra i handen.,
När man ser till att fortsätta tills ett mål är uppnått håller man denna uppe. ,Ångan,När man ser till att fortsätta tills ett mål är uppnått håller man ångan uppe.,När man ser till att fortsätta tills ett mål är uppnått håller man orken uppe.,
Något som är på gränsen till att upphöra eller inte bli av hänger på en skör...,Tråd,Något som är på gränsen till att upphöra eller inte bli av hänger på en skör tråd.,Något som är på gränsen till att upphöra eller inte bli av hänger på en skör kvist.,
Om det i den omedelbara omgivningen inte sker någon aktivitet som leder till något resultat och den talande ska gå någon annan stans för att göra nytta sägs det att här blir inga sådana gjorda.,Barn,Om det i den omedelbara omgivningen inte sker någon aktivitet som leder till något resultat och den talande ska gå någon annanstans för att göra nytta sägs det att här blir inga barn gjorda.,Om det i den omedelbara omgivningen inte sker någon aktivitet som leder till något resultat och den talande ska gå någon annanstans för att göra nytta sägs det att här blir inga jobb gjorda.,
Någon som blir förvånad höjer på...,Ögonbrynen,Någon som blir förvånad höjer på ögonbrynen.,Någon som blir förvånad höjer på hatten.,
Någon som har extremt bra hörsel hör detta gro.,Gräset,Någon som har extremt bra hörsel hör gräset gro.,Någon som har extremt bra hörsel hör blomman gro.,
Något som händer i absolut sista stund innan det är för sent händer i dennes tid.,Grevens,Något som händer i absolut sista stund innan det är för sent händer i grevens tid.,Något som händer i absolut sista stund innan det är för sent händer i Eriks tid.,
Något som inte är lätt är ingen dans på...,Rosor,Något som inte är lätt är ingen dans på rosor.,Något som inte är lätt är ingen dans på gräset.,
"När man inte förvånar sig över att något inträffar en andra (tredje, osv.) gång så säger man att intet är nytt under...",Solen,När man inte förvånar sig över att något inträffar en andra gång så säger man att intet är nytt under solen.,När man inte förvånar sig över att något inträffar en andra gång så säger man att intet är nytt under himlen.,
När man talar klarspråk kallar man en sådan för en sådan. ,Spade,När man talar klarspråk kallar man en spade för en spade.,När man talar klarspråk kallar man en skruv för en skruv.,
Någon som blir utsläppt i ett sammanhang där hen okontrollerat kan ta för sig av det goda är en kalv på...,Grönbete,Någon som blir utsläppt i ett sammanhang där hen okontrollerat kan ta för sig av det goda är en kalv på grönbete.,Någon som blir utsläppt i ett sammanhang där hen okontrollerat kan ta för sig av det goda är en kalv på ängen.,
När man ger upp kastar man in...,Handduken,När man ger upp kastar man in handduken.,När man ger upp kastar man in lakan.,
När man tillför ny information som ökar möjligheterna att lösa ett problem då kastar man nytt sådant på det.,Ljus,När man tillför ny information som ökar möjligheterna att lösa ett problem då kastar man nytt ljus på det.,När man tillför ny information som ökar möjligheterna att lösa ett problem då kastar man nytt sken på det.,
När man slösar pengar på onödiga saker kastar man pengar i...,Sjön,När man slösar pengar på onödiga saker kastar man pengar i sjön.,När man slösar pengar på onödiga saker kastar man pengar i havet.,
När man ödslar något värdefullt på någon som inte kan uppskatta det kastar man pärlor åt...,Svin,När man ödslar något värdefullt på någon som inte kan uppskatta det kastar man pärlor åt svin.,När man ödslar något värdefullt på någon som inte kan uppskatta det kastar man pärlor åt tjuven.,
När man kommer med kritik fast man själv inte har rent samvete då kastar man sten i...,Glashus,När man kommer med kritik fast man själv inte har rent samvete då kastar man sten i glashus.,När man kommer med kritik fast man själv inte har rent samvete då kastar man sten i rutan.,
"En person som inte passar in i en ""finare"" samling personer och sticker ut från omgivningen är en katt bland...",Hermelinerna,"En person som inte passar in i en ""finare"" samling personer och sticker ut från omgivningen är en katt bland hermelinerna.","En person som inte passar in i en ""finare"" samling personer och sticker ut från omgivningen är en katt bland prinsessor.",x
Att agera mot någon på ett elakt sätt och förlänga ett lidande är som att köra kattens lek med...,Råttan,Att agera mot någon på ett elakt sätt och förlänga ett lidande är som att köra kattens lek med råttan.,Att agera mot någon på ett elakt sätt och förlänga ett lidande är som att köra kattens lek med fågeln.,
En skarp tillrättavisning är en sådan på näsan. ,Knäpp,En skarp tillrättavisning är en knäpp på näsan.,En skarp tillrättavisning är en slag på näsan.,
När det är fritt fram för någon eller något då är den här klar.,Kusten,När det är fritt fram för någon eller något då är kusten klar.,När det är fritt fram för någon eller något då är vägen klar.,
"När man känner sitt folk, ofta med antydan om att de har vissa betänkliga egenskaper, då säger man att man känner sina...",Pappenheimare ,"När man känner sitt folk, ofta med antydan om att de har vissa betänkliga egenskaper, då säger man att man känner sina pappenheimare.","När man känner sitt folk, ofta med antydan om att de har vissa betänkliga egenskaper, då säger man att man känner sina kompisar.",
När man envist fortsätter i en omöjlig situation kör man huvudet i...,Väggen,När man envist fortsätter i en omöjlig situation kör man huvudet i väggen.,När man envist fortsätter i en omöjlig situation kör man huvudet i taket.,
När man tvinger någon att lämna byggnaden kör man hen på...,Porten,När man tvingar någon att lämna byggnaden kör man hen på porten.,När man tvingar någon att lämna byggnaden kör man hen på dörren.,
När man genomför en sökning som har en ytterst liten chans för framgång letar man efter en nål i en...,Höstack,När man genomför en sökning som har en ytterst liten chans för framgång letar man efter en nål i en höstack.,När man genomför en sökning som har en ytterst liten chans för framgång letar man efter en nål i en äng.,
När något är utsålt så är det lapp på...,Luckan,När något är utsålt så är det lapp på luckan.,När något är utsålt så är det lapp på fönstret.,
